name,bulbasaur,ivysaur,venusaur,charmander,charmeleon,charizard,squirtle,wartortle,blastoise,caterpie,metapod,butterfree,weedle,kakuna,beedrill,pidgey,pidgeotto,pidgeot,rattata,raticate,spearow,fearow,ekans,arbok,pikachu,raichu,sandshrew,sandslash,nidoran-f,nidorina,nidoqueen,nidoran-m,nidorino,nidoking,clefairy,clefable,vulpix,ninetales,jigglypuff,wigglytuff,zubat,golbat,oddish,gloom,vileplume,paras,parasect,venonat,venomoth,diglett,dugtrio,meowth,persian,psyduck,golduck,mankey,primeape,growlithe,arcanine,poliwag,poliwhirl,poliwrath,abra,kadabra,alakazam,machop,machoke,machamp,bellsprout,weepinbell,victreebel,tentacool,tentacruel,geodude,graveler,golem,ponyta,rapidash,slowpoke,slowbro,magnemite,magneton,farfetch'd,doduo,dodrio,seel,dewgong,grimer,muk,shellder,cloyster,gastly,haunter,gengar,onix,drowzee,hypno,krabby,kingler,voltorb,electrode,exeggcute,exeggutor,cubone,marowak,hitmonlee,hitmonchan,lickitung,koffing,weezing,rhyhorn,rhydon,chansey,tangela,kangaskhan,horsea,seadra,goldeen,seaking,staryu,starmie,mr. mime,scyther,jynx,electabuzz,magmar,pinsir,tauros,magikarp,gyarados,lapras,ditto,eevee,vaporeon,jolteon,flareon,porygon,omanyte,omastar,kabuto,kabutops,aerodactyl,snorlax,articuno,zapdos,moltres,dratini,dragonair,dragonite,mewtwo,mew
bulbasaur,0,92,64,74,48,14,95,78,45,100,100,11,100,100,32,72,48,13,87,81,79,50,93,69,98,100,78,44,94,77,54,85,75,34,94,52,43,12,84,94,76,31,85,73,48,47,37,83,51,80,51,89,74,83,60,62,39,39,14,93,70,39,0,47,28,89,72,55,89,60,46,98,88,61,65,48,65,37,97,68,85,54,37,71,31,69,48,93,62,79,49,32,26,13,95,91,74,72,51,81,54,92,9,85,70,79,18,86,49,31,88,55,100,78,20,98,100,74,56,93,91,80,45,50,81,19,28,56,100,28,48,95,76,85,84,27,82,92,76,83,54,33,27,1,7,8,78,65,33,20,60
ivysaur,7,0,73,83,54,27,97,92,53,100,100,27,100,100,56,73,52,24,92,82,79,56,96,79,100,100,83,58,96,85,47,98,86,31,94,60,55,20,86,96,78,34,85,70,60,61,33,83,78,85,56,91,77,93,68,76,55,44,11,93,82,53,0,60,34,90,76,65,85,80,55,99,91,65,64,60,77,60,98,75,93,61,58,72,47,85,48,90,84,93,57,48,26,16,98,92,81,88,64,85,57,94,19,85,71,87,30,88,60,48,82,64,100,75,27,100,98,88,74,97,91,86,52,63,86,30,22,64,100,26,64,98,92,90,91,53,86,95,86,86,64,35,29,1,9,12,90,71,46,35,74
venusaur,33,26,0,97,89,58,99,99,96,100,100,61,100,100,90,79,74,38,100,99,96,84,99,98,100,100,98,88,100,97,87,100,99,72,97,92,74,31,95,100,98,79,98,94,89,91,78,99,86,96,87,100,97,99,87,96,79,71,36,99,96,87,0,69,56,96,94,88,98,96,93,100,100,91,89,86,99,92,100,95,99,96,91,93,84,93,82,97,89,95,83,60,41,25,100,96,94,98,98,98,84,100,51,100,92,99,79,96,86,81,94,89,100,97,74,100,100,100,98,99,100,96,84,90,96,66,59,93,100,69,89,98,97,96,98,88,99,100,97,99,94,70,56,13,36,59,99,95,85,61,86
charmander,24,16,2,0,73,37,73,56,8,100,100,47,100,100,75,84,67,34,98,71,96,78,99,71,91,91,80,41,94,81,37,98,88,19,85,53,71,22,83,94,98,61,95,83,75,93,76,97,90,51,27,97,76,93,47,65,46,68,17,54,39,9,0,65,41,80,68,45,95,90,71,77,36,36,21,10,75,51,84,28,88,44,81,88,51,68,27,96,60,93,44,35,22,7,63,93,64,71,24,82,39,93,38,80,40,38,25,82,67,47,57,21,98,92,15,77,58,75,25,66,24,90,63,65,64,59,38,50,100,6,27,98,85,43,66,52,84,23,5,24,11,5,17,46,7,44,79,72,38,26,55
charmeleon,50,41,11,27,0,66,89,69,50,100,100,84,100,100,93,89,85,55,100,97,100,90,99,95,97,98,89,80,99,96,77,100,99,44,96,69,84,34,97,97,100,84,98,98,92,96,87,99,95,86,34,100,93,100,84,94,65,81,29,87,62,48,0,75,56,98,82,65,100,96,96,97,68,49,39,23,92,77,98,55,96,66,96,100,74,77,72,97,80,90,71,55,36,18,81,99,91,82,63,96,77,97,64,93,61,64,74,94,86,82,67,41,100,96,39,94,88,89,68,80,55,99,90,86,93,86,48,77,100,18,59,100,96,84,93,94,99,66,20,65,26,30,38,59,49,83,99,98,79,57,72
charizard,83,68,40,63,34,0,100,97,80,100,100,97,100,100,100,91,83,71,100,100,100,99,100,100,100,100,99,89,100,100,90,100,100,92,100,91,90,48,99,99,100,98,100,100,100,99,97,100,100,100,99,100,99,100,99,97,94,88,68,99,95,74,74,86,79,100,100,94,100,100,99,100,95,82,60,63,100,97,100,90,96,91,100,100,96,94,81,100,95,100,90,57,65,42,93,100,100,88,77,100,97,100,85,100,99,100,91,99,98,97,86,55,100,100,86,99,100,95,89,100,97,100,95,96,91,98,77,92,100,68,82,99,100,97,97,98,100,97,57,92,71,58,76,95,76,100,98,100,96,94,87
squirtle,4,2,0,27,11,0,0,79,35,100,100,52,100,100,81,75,72,46,100,97,100,89,100,93,86,80,96,62,100,95,72,100,98,52,97,39,75,43,99,94,99,89,48,58,23,95,77,100,96,98,60,99,90,97,80,89,61,74,36,92,89,28,0,68,46,98,68,48,88,59,43,99,87,85,77,53,98,86,100,77,88,50,77,98,81,83,56,98,77,100,67,47,27,7,100,96,89,94,59,94,68,76,16,98,73,64,45,99,84,63,92,84,99,89,41,99,99,95,66,92,94,97,85,74,72,87,43,82,100,13,36,98,95,82,86,89,96,99,62,73,28,53,28,38,10,96,95,85,54,24,68
wartortle,20,6,0,44,31,3,21,0,69,100,100,65,100,100,95,88,82,61,100,99,100,99,99,95,96,91,99,85,100,99,93,100,100,76,99,65,73,53,100,100,100,98,86,79,62,99,97,100,96,99,84,100,99,99,90,96,78,69,50,99,96,53,0,83,61,100,97,86,98,91,68,100,98,93,94,78,99,97,100,95,98,75,95,100,90,94,80,99,92,99,93,55,32,21,98,100,96,100,88,100,95,89,58,100,98,78,77,100,98,84,98,90,100,100,67,100,100,99,88,100,100,99,98,91,84,97,61,95,100,43,73,100,100,98,92,97,99,100,95,100,55,75,53,65,34,100,99,94,80,52,91
blastoise,53,44,3,91,49,20,65,31,0,100,100,85,100,100,100,94,85,64,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,94,100,92,95,63,100,100,100,99,89,91,86,100,99,100,100,100,99,100,100,99,99,100,97,96,66,100,99,92,0,82,68,100,100,100,99,100,96,100,100,100,100,96,100,100,100,100,100,98,100,100,100,97,100,100,98,100,100,62,38,20,100,100,100,100,100,100,99,97,88,100,100,99,98,100,100,99,100,99,100,100,95,100,100,100,100,100,100,100,100,96,99,98,95,100,100,88,94,100,100,100,100,100,100,100,100,100,97,99,93,88,86,100,100,100,95,92,99
caterpie,0,0,0,0,0,0,0,0,0,0,100,4,100,100,21,46,18,1,74,11,56,13,55,18,52,31,6,0,65,11,0,47,17,0,58,2,13,1,37,14,44,2,17,6,3,42,6,49,18,45,8,61,16,27,4,24,3,7,1,27,6,0,0,22,2,35,8,3,66,26,10,40,6,0,0,0,26,17,43,0,1,0,10,27,7,12,4,32,3,14,0,0,0,0,1,62,16,7,2,15,4,29,0,44,14,31,0,13,1,0,0,0,94,26,0,19,10,13,0,14,0,45,19,6,11,0,0,0,100,0,0,98,31,1,9,5,10,0,0,0,0,0,0,0,0,0,36,19,4,1,38
