name,bulbasaur,ivysaur,venusaur,charmander,charmeleon,charizard,squirtle,wartortle,blastoise,caterpie,metapod,butterfree,weedle,kakuna,beedrill,pidgey,pidgeotto,pidgeot,rattata,raticate,spearow,fearow,ekans,arbok,pikachu,raichu,sandshrew,sandslash,nidoran-f,nidorina,nidoqueen,nidoran-m,nidorino,nidoking,clefairy,clefable,vulpix,ninetales,jigglypuff,wigglytuff,zubat,golbat,oddish,gloom,vileplume,paras,parasect,venonat,venomoth,diglett,dugtrio,meowth,persian,psyduck,golduck,mankey,primeape,growlithe,arcanine,poliwag,poliwhirl,poliwrath,abra,kadabra,alakazam,machop,machoke,machamp,bellsprout,weepinbell,victreebel,tentacool,tentacruel,geodude,graveler,golem,ponyta,rapidash,slowpoke,slowbro,magnemite,magneton,farfetch'd,doduo,dodrio,seel,dewgong,grimer,muk,shellder,cloyster,gastly,haunter,gengar,onix,drowzee,hypno,krabby,kingler,voltorb,electrode,exeggcute,exeggutor,cubone,marowak,hitmonlee,hitmonchan,lickitung,koffing,weezing,rhyhorn,rhydon,chansey,tangela,kangaskhan,horsea,seadra,goldeen,seaking,staryu,starmie,mr. mime,scyther,jynx,electabuzz,magmar,pinsir,tauros,magikarp,gyarados,lapras,ditto,eevee,vaporeon,jolteon,flareon,porygon,omanyte,omastar,kabuto,kabutops,aerodactyl,snorlax,articuno,zapdos,moltres,dratini,dragonair,dragonite,mewtwo,mew
bulbasaur,0,48,6,29,10,1,72,44,12,91,100,1,99,100,6,24,6,0,75,22,30,4,37,6,86,89,44,21,38,15,1,48,24,1,59,5,3,1,59,37,17,0,11,5,0,13,2,15,4,63,27,71,35,66,20,27,8,2,1,87,62,14,0,20,4,45,24,2,39,9,0,80,31,42,37,22,14,2,83,28,36,8,5,31,3,40,20,32,5,70,31,8,2,1,84,62,17,59,35,46,9,47,0,76,21,23,0,21,9,2,62,37,90,52,5,87,91,53,21,84,69,39,1,9,29,0,1,9,100,0,14,61,26,40,23,4,25,86,53,73,46,2,0,0,0,0,24,12,0,2,15
ivysaur,50,0,17,40,16,3,68,39,2,95,100,0,100,99,13,21,1,0,76,26,35,3,51,7,80,93,41,11,45,21,7,56,16,0,70,5,10,0,52,33,29,0,17,7,1,12,3,30,7,79,25,77,36,80,21,25,9,3,0,77,51,8,0,29,7,35,9,9,38,6,3,82,37,53,33,11,19,3,79,17,23,1,4,27,17,48,19,22,8,45,5,5,1,1,80,71,26,43,12,33,9,35,0,57,22,47,2,17,1,0,53,28,95,27,8,88,84,57,29,77,60,40,1,32,35,1,0,9,100,0,19,68,32,40,35,12,39,82,42,73,36,1,0,0,0,0,20,7,2,2,24
venusaur,93,81,0,77,52,19,92,87,42,100,100,9,100,100,64,34,16,4,98,74,86,30,85,49,100,100,86,42,93,80,34,95,66,26,92,24,32,1,92,85,86,5,71,57,21,75,39,78,37,95,79,98,77,97,63,82,28,21,0,99,87,50,0,44,11,72,43,29,84,54,25,98,73,75,74,50,63,28,98,49,68,33,30,79,49,79,62,64,29,77,31,25,9,0,98,97,66,86,56,84,49,80,0,89,59,93,17,62,25,10,85,65,100,70,23,98,100,93,75,95,95,69,26,70,69,7,1,44,100,12,51,82,85,90,80,36,73,96,87,90,75,16,5,0,0,1,61,47,13,9,52
charmander,71,60,22,0,24,5,12,4,0,94,100,18,97,100,37,49,21,1,72,8,77,25,67,16,59,45,37,1,48,24,1,55,26,1,34,3,22,1,46,15,64,9,60,45,21,78,42,68,49,33,2,62,18,30,2,22,0,10,0,6,5,0,0,22,5,33,7,2,73,56,29,30,2,0,0,0,25,9,24,0,52,21,21,58,20,15,3,33,4,40,15,8,5,0,18,62,9,21,2,27,4,62,7,32,0,8,3,12,15,5,0,1,80,73,4,19,10,13,2,17,0,24,17,17,12,8,4,12,99,0,1,56,28,2,12,9,27,0,0,0,0,0,0,4,0,1,32,12,0,2,12
charmeleon,90,84,47,76,0,18,36,6,0,99,100,43,98,100,62,61,44,9,88,31,95,51,76,45,86,71,62,14,71,56,13,83,57,7,62,6,48,4,68,39,85,21,86,82,46,78,66,90,67,61,16,78,53,65,14,68,13,31,0,47,16,3,0,54,11,61,23,9,92,78,59,71,7,18,3,0,49,15,59,0,76,47,51,83,39,40,8,56,12,57,31,36,18,3,43,78,33,32,7,62,20,87,21,54,12,27,18,31,40,15,16,2,95,79,10,65,20,40,7,38,4,68,38,57,29,22,21,35,100,0,5,66,60,7,28,25,54,3,0,5,0,0,0,13,3,11,58,40,9,3,16
charizard,99,97,81,95,82,0,79,54,13,100,100,58,100,100,89,77,66,35,99,75,100,81,99,70,99,89,77,49,87,79,46,96,85,45,85,39,70,16,86,68,96,61,100,100,96,94,78,97,94,99,82,97,71,92,46,81,60,66,19,90,63,18,50,74,49,89,62,51,98,95,91,98,54,59,32,5,90,61,86,22,87,75,74,95,90,81,57,79,54,76,69,56,55,18,56,100,78,62,35,89,67,95,63,85,61,87,43,57,72,59,47,22,98,93,35,91,85,79,44,91,51,94,74,91,62,63,40,60,100,11,28,86,84,41,68,63,89,51,2,35,4,10,9,57,34,56,98,72,39,38,45
squirtle,28,30,8,88,64,21,0,17,0,100,100,17,100,100,59,47,32,2,99,55,98,64,95,51,73,43,78,21,94,62,23,91,59,8,73,1,51,14,98,62,96,30,6,10,4,72,45,95,59,88,40,95,50,69,6,50,7,51,0,86,35,0,0,41,6,59,17,3,73,24,10,93,21,74,54,23,81,48,92,1,32,5,47,84,47,75,23,57,2,95,15,11,3,0,98,96,46,35,2,65,13,35,0,88,31,25,3,51,41,8,83,49,87,52,13,90,93,65,13,72,12,78,32,31,15,58,4,31,100,0,5,74,50,14,30,47,57,64,5,33,3,6,1,2,0,64,53,23,3,3,19
wartortle,56,57,11,96,94,46,83,0,4,100,100,32,100,100,86,71,45,14,100,87,100,83,100,72,86,59,93,50,98,97,57,100,90,27,86,16,64,13,100,88,100,52,37,10,8,91,76,100,85,97,53,99,88,93,37,76,26,60,17,98,74,1,0,61,22,79,55,22,83,55,17,95,59,87,87,61,96,84,98,11,73,21,70,98,78,96,71,90,31,97,34,30,10,4,100,99,84,85,25,92,45,42,8,98,78,47,21,77,70,21,95,70,100,88,22,99,98,83,52,96,89,90,65,69,40,74,11,63,100,3,23,92,88,35,54,74,90,95,36,78,16,27,3,17,2,98,82,61,14,4,28
blastoise,88,98,55,100,100,87,100,96,0,100,100,57,100,100,99,81,74,27,100,100,100,100,100,99,100,94,100,91,100,100,99,100,100,88,98,64,77,26,100,100,100,95,73,62,36,100,98,100,97,100,97,100,99,100,93,98,88,80,23,100,99,67,0,63,36,99,86,76,99,93,85,100,98,99,96,82,100,99,100,88,97,70,99,100,98,100,100,100,78,100,97,26,20,0,100,100,100,99,92,100,87,85,55,100,98,96,82,95,98,88,100,99,100,100,57,100,99,100,96,100,100,100,94,98,85,96,50,93,100,28,90,99,100,92,93,100,100,100,93,97,43,73,52,86,26,100,97,97,68,35,68
caterpie,8,5,0,6,1,0,0,0,0,0,0,0,74,0,0,0,0,0,3,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,99,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
