name,bulbasaur,ivysaur,venusaur,charmander,charmeleon,charizard,squirtle,wartortle,blastoise,caterpie,metapod,butterfree,weedle,kakuna,beedrill,pidgey,pidgeotto,pidgeot,rattata,raticate,spearow,fearow,ekans,arbok,pikachu,raichu,sandshrew,sandslash,nidoran-f,nidorina,nidoqueen,nidoran-m,nidorino,nidoking,clefairy,clefable,vulpix,ninetales,jigglypuff,wigglytuff,zubat,golbat,oddish,gloom,vileplume,paras,parasect,venonat,venomoth,diglett,dugtrio,meowth,persian,psyduck,golduck,mankey,primeape,growlithe,arcanine,poliwag,poliwhirl,poliwrath,abra,kadabra,alakazam,machop,machoke,machamp,bellsprout,weepinbell,victreebel,tentacool,tentacruel,geodude,graveler,golem,ponyta,rapidash,slowpoke,slowbro,magnemite,magneton,farfetch'd,doduo,dodrio,seel,dewgong,grimer,muk,shellder,cloyster,gastly,haunter,gengar,onix,drowzee,hypno,krabby,kingler,voltorb,electrode,exeggcute,exeggutor,cubone,marowak,hitmonlee,hitmonchan,lickitung,koffing,weezing,rhyhorn,rhydon,chansey,tangela,kangaskhan,horsea,seadra,goldeen,seaking,staryu,starmie,mr. mime,scyther,jynx,electabuzz,magmar,pinsir,tauros,magikarp,gyarados,lapras,ditto,eevee,vaporeon,jolteon,flareon,porygon,omanyte,omastar,kabuto,kabutops,aerodactyl,snorlax,articuno,zapdos,moltres,dratini,dragonair,dragonite,mewtwo,mew
bulbasaur,0,62,12,32,23,0,82,63,22,96,100,0,100,100,4,25,8,2,84,36,48,10,63,6,87,89,59,28,60,23,7,44,22,6,77,8,12,1,75,49,21,2,23,8,1,13,4,23,8,69,34,79,31,76,45,52,10,6,1,83,63,22,0,25,5,60,24,8,37,16,3,90,49,56,36,24,18,5,83,50,39,7,10,38,9,66,24,44,5,62,32,13,7,0,89,64,24,69,40,50,19,59,0,77,45,40,2,41,16,4,69,47,93,66,4,97,96,64,46,85,80,49,2,17,42,1,1,18,100,4,15,79,31,39,36,3,45,83,64,67,38,9,1,0,0,1,35,11,3,4,14
ivysaur,35,0,22,39,23,3,84,51,14,92,100,3,100,100,10,35,9,0,77,34,52,11,62,12,89,98,51,11,67,32,7,59,21,2,81,15,12,2,58,57,45,4,38,25,1,10,2,38,12,68,42,77,34,79,48,50,6,15,1,87,68,13,0,43,5,33,21,13,44,10,3,93,51,53,54,36,24,8,84,23,38,7,11,35,12,60,25,41,10,67,8,5,2,0,88,80,36,63,11,58,12,42,0,73,30,47,8,31,2,2,68,45,98,23,5,90,95,70,45,83,67,45,7,40,40,5,0,13,100,3,27,83,46,46,40,9,45,81,62,69,55,1,0,0,0,0,36,14,5,2,20
venusaur,85,75,0,81,64,16,95,89,67,100,100,8,100,100,62,51,33,4,98,81,85,41,91,51,100,100,85,62,95,77,46,89,77,26,91,46,40,3,92,91,83,13,85,70,37,76,34,75,45,95,79,95,87,100,73,79,47,33,2,98,93,69,0,46,26,75,54,42,90,62,45,99,80,91,70,56,69,36,100,48,80,46,43,81,44,87,76,75,52,91,42,46,7,0,98,98,73,81,67,87,48,85,3,92,75,94,39,78,30,18,92,74,99,72,27,99,100,89,84,97,94,83,31,80,87,14,6,55,100,20,59,83,82,93,85,48,83,98,84,92,80,23,15,0,5,7,84,59,14,14,63
charmander,67,60,19,0,29,9,13,10,0,95,100,28,99,100,50,55,37,9,76,12,86,26,67,27,70,58,43,11,70,37,6,69,40,7,54,9,39,4,54,14,83,14,70,58,33,81,59,80,57,28,7,72,22,42,10,34,9,25,2,25,7,0,0,36,8,36,15,7,82,68,48,39,4,3,1,0,41,11,32,0,61,34,27,69,25,19,5,35,11,48,15,25,4,0,21,68,21,24,0,47,12,74,14,38,7,14,3,15,44,4,9,1,80,71,6,31,12,15,3,19,3,51,26,30,16,19,15,18,98,0,1,69,36,7,16,12,39,1,0,4,0,0,0,11,0,6,39,13,5,2,11
charmeleon,77,76,36,71,0,25,47,18,2,100,100,55,100,100,73,76,50,17,94,51,96,51,89,48,91,84,60,29,76,60,27,87,65,14,75,30,54,6,79,46,88,44,94,79,64,79,70,93,76,59,23,93,38,76,20,80,22,43,4,52,17,4,0,54,12,66,40,18,91,90,67,73,8,31,12,1,66,35,66,3,82,64,65,87,52,59,31,59,21,73,56,35,27,5,41,92,53,42,16,85,31,85,38,65,29,35,32,45,58,33,24,2,94,77,12,65,29,45,19,53,6,76,57,65,45,37,33,44,100,1,7,78,63,12,45,29,70,4,1,6,1,2,4,25,8,20,71,43,11,10,25
charizard,100,97,83,91,75,0,86,77,27,100,100,78,100,100,99,86,68,43,100,86,100,87,99,81,100,96,83,60,96,80,54,100,85,60,95,53,76,24,95,86,92,62,100,100,100,94,87,100,97,100,85,97,90,96,69,86,70,77,18,96,69,25,70,60,56,86,73,56,99,95,89,99,55,56,45,16,91,70,87,32,84,82,78,99,85,86,59,93,64,87,67,68,42,30,75,98,84,69,41,96,70,98,61,90,65,91,56,73,82,69,62,35,100,89,38,90,85,81,54,94,68,98,85,85,73,67,57,76,100,10,43,92,90,44,79,69,98,47,6,47,13,24,25,72,30,54,98,84,47,47,47
squirtle,18,16,5,87,53,14,0,18,1,100,100,24,100,100,61,64,40,11,98,55,99,65,96,58,81,50,84,30,98,64,23,95,78,23,83,6,60,23,99,74,96,48,17,13,5,85,38,98,64,96,39,94,66,75,15,71,12,58,7,95,39,3,0,40,12,72,20,8,76,43,6,95,28,80,62,31,86,65,97,1,50,12,40,88,64,70,20,79,9,97,21,21,6,1,100,98,65,53,11,72,20,34,2,92,50,34,12,66,53,12,91,61,84,73,10,97,97,65,18,77,35,82,46,50,28,60,6,40,100,1,9,85,71,17,39,51,73,69,8,44,7,10,1,6,0,70,63,47,7,3,28
wartortle,36,49,11,90,81,23,82,0,7,100,100,35,100,100,87,74,58,27,100,89,99,86,100,80,92,65,96,54,100,98,67,100,87,40,91,19,68,19,99,94,100,71,48,34,17,97,76,99,94,100,60,99,96,97,51,90,34,70,27,96,76,14,0,55,29,92,65,27,93,74,30,99,65,86,81,68,100,82,99,20,83,34,77,99,83,96,65,91,36,98,55,42,23,2,100,99,87,87,35,94,62,58,11,100,82,55,29,83,80,30,94,83,99,93,24,99,100,85,51,98,96,98,72,87,48,87,20,67,100,6,26,94,92,58,60,86,97,97,47,87,26,37,10,23,2,98,89,70,23,18,45
blastoise,78,86,32,100,98,73,99,93,0,100,100,59,100,100,100,91,72,40,100,100,100,99,100,96,99,90,100,93,100,100,96,100,99,89,98,71,82,34,100,100,100,97,80,65,50,100,97,100,100,100,97,100,100,100,96,100,87,81,45,100,100,80,0,67,53,98,89,80,100,95,86,100,97,99,95,89,100,100,100,86,97,77,100,100,100,100,99,100,80,100,98,52,21,6,100,100,98,100,93,100,91,83,63,100,100,97,87,99,100,86,100,95,99,100,59,100,100,99,95,100,100,100,97,100,88,98,65,96,100,40,89,98,100,94,95,100,99,100,89,100,58,79,64,86,39,100,100,98,78,48,91
caterpie,4,8,0,5,0,0,0,0,0,0,2,0,88,15,0,1,0,0,10,0,6,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,13,0,0,0,8,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,13,1,0,1,0,0,0,0,3,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,100,0,0,83,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
