name,bulbasaur,ivysaur,venusaur,charmander,charmeleon,charizard,squirtle,wartortle,blastoise,caterpie,metapod,butterfree,weedle,kakuna,beedrill,pidgey,pidgeotto,pidgeot,rattata,raticate,spearow,fearow,ekans,arbok,pikachu,raichu,sandshrew,sandslash,nidoran-f,nidorina,nidoqueen,nidoran-m,nidorino,nidoking,clefairy,clefable,vulpix,ninetales,jigglypuff,wigglytuff,zubat,golbat,oddish,gloom,vileplume,paras,parasect,venonat,venomoth,diglett,dugtrio,meowth,persian,psyduck,golduck,mankey,primeape,growlithe,arcanine,poliwag,poliwhirl,poliwrath,abra,kadabra,alakazam,machop,machoke,machamp,bellsprout,weepinbell,victreebel,tentacool,tentacruel,geodude,graveler,golem,ponyta,rapidash,slowpoke,slowbro,magnemite,magneton,farfetch'd,doduo,dodrio,seel,dewgong,grimer,muk,shellder,cloyster,gastly,haunter,gengar,onix,drowzee,hypno,krabby,kingler,voltorb,electrode,exeggcute,exeggutor,cubone,marowak,hitmonlee,hitmonchan,lickitung,koffing,weezing,rhyhorn,rhydon,chansey,tangela,kangaskhan,horsea,seadra,goldeen,seaking,staryu,starmie,mr. mime,scyther,jynx,electabuzz,magmar,pinsir,tauros,magikarp,gyarados,lapras,ditto,eevee,vaporeon,jolteon,flareon,porygon,omanyte,omastar,kabuto,kabutops,aerodactyl,snorlax,articuno,zapdos,moltres,dratini,dragonair,dragonite,mewtwo,mew
bulbasaur,0,77,39,43,27,5,85,59,42,100,100,8,100,100,12,51,29,5,81,59,63,23,76,36,91,97,59,31,80,54,13,64,43,15,84,25,28,4,74,85,50,9,59,42,8,26,4,58,22,69,35,87,56,71,56,37,19,14,0,85,65,26,0,32,12,67,36,34,57,36,13,93,70,55,49,25,45,17,94,54,57,27,16,48,13,61,36,70,36,70,36,19,4,6,89,85,44,62,51,64,30,79,3,75,49,52,9,73,39,10,77,52,98,67,5,91,97,71,46,88,75,72,30,22,67,4,7,36,100,5,31,84,55,74,52,11,55,94,64,64,47,12,7,0,2,2,55,42,16,8,43
ivysaur,23,0,42,49,40,10,90,79,35,100,100,11,100,100,23,69,28,13,87,63,67,29,87,39,94,99,67,33,80,61,16,89,60,7,92,37,19,3,74,77,67,16,66,47,32,35,7,74,43,74,45,80,62,88,41,49,15,26,3,84,74,25,0,37,15,65,50,34,72,46,30,95,70,52,49,38,43,24,89,52,70,24,40,54,12,62,32,73,57,78,17,14,9,3,95,86,56,75,30,68,32,73,1,79,53,73,7,73,24,13,68,54,100,62,6,99,100,68,57,92,85,67,28,44,63,13,7,37,100,8,45,90,68,75,61,16,65,91,72,78,55,14,11,2,1,3,69,47,16,13,51
venusaur,59,57,0,92,79,36,99,97,76,100,100,28,100,100,78,66,51,20,99,91,97,65,98,87,100,100,89,78,97,97,76,100,95,53,97,78,57,12,97,97,93,48,87,77,62,74,50,95,70,97,80,98,91,96,80,88,62,43,9,98,95,82,0,52,29,96,82,65,92,87,71,100,95,82,76,63,83,70,99,84,94,70,87,89,60,82,70,89,83,93,64,40,17,9,98,99,92,95,87,96,74,99,17,98,73,99,58,93,62,53,91,70,100,90,56,100,100,95,83,100,96,92,74,82,98,30,21,84,100,28,78,94,98,97,94,72,88,100,84,92,85,33,38,0,5,22,95,84,52,31,76
charmander,53,51,6,0,46,10,32,16,0,100,100,33,100,100,59,84,41,13,83,36,87,44,92,44,81,69,51,10,82,55,11,85,58,5,68,19,51,5,72,65,84,35,79,68,51,84,57,91,69,36,9,83,39,67,8,44,14,34,1,32,12,0,0,44,21,57,31,13,93,78,52,57,14,10,5,0,47,30,61,3,70,35,57,78,20,43,14,72,33,77,21,24,8,1,32,87,38,40,13,59,18,80,24,50,14,24,6,46,42,29,16,3,97,78,3,57,28,42,11,33,4,66,38,35,36,22,26,20,100,0,5,90,62,16,30,22,67,4,1,5,2,2,6,4,0,6,69,38,11,11,26
charmeleon,71,56,20,54,0,41,66,41,12,100,100,70,100,100,78,71,75,22,100,78,100,79,99,78,91,97,64,35,88,73,43,96,86,19,91,42,71,27,83,73,98,60,96,85,72,83,76,93,90,64,27,95,78,95,41,86,31,66,8,63,45,9,0,62,32,89,65,36,98,90,86,88,25,29,19,2,75,55,91,26,80,62,76,97,64,68,37,80,54,86,61,36,27,3,66,97,82,64,33,85,45,87,47,76,37,49,49,69,63,46,36,17,98,92,18,75,45,75,32,59,34,94,67,67,71,64,37,50,100,2,22,94,79,37,66,56,91,26,2,21,6,4,6,34,16,35,90,84,37,19,37
charizard,92,90,62,90,59,0,94,88,50,100,100,88,100,100,95,88,87,53,100,97,100,99,99,99,99,97,94,68,100,99,69,100,100,70,99,69,80,39,98,96,100,90,100,100,99,100,93,100,99,100,93,99,94,99,87,99,78,86,34,97,83,49,71,78,59,99,89,81,100,99,98,100,79,62,49,30,98,94,97,67,94,78,95,99,92,89,77,97,88,93,72,56,48,27,86,99,97,85,59,98,79,99,69,99,92,99,70,88,87,73,59,48,98,100,55,96,99,93,71,98,75,100,88,96,79,94,59,91,100,33,61,97,97,86,89,91,99,72,27,67,42,32,40,65,52,90,98,96,79,71,73
squirtle,13,10,0,68,34,6,0,52,3,100,100,34,100,100,61,69,51,21,99,80,100,76,99,69,76,65,89,35,100,81,37,97,87,24,94,20,70,25,95,82,95,57,28,31,14,90,58,95,77,93,47,97,76,90,38,67,21,53,28,85,58,7,0,50,18,83,38,12,83,44,19,97,47,77,68,27,95,74,98,27,59,30,78,88,50,74,21,91,28,97,44,21,8,1,98,98,60,72,33,86,43,46,2,95,51,39,17,86,76,21,84,68,96,78,19,100,98,76,33,86,72,91,62,53,38,77,11,58,100,2,16,84,83,42,48,63,90,88,20,52,10,23,1,2,0,78,66,64,26,12,40
wartortle,41,19,2,83,58,12,48,0,22,100,100,54,100,100,85,91,60,41,100,97,100,96,99,87,96,76,96,59,100,99,75,100,98,52,95,35,59,40,100,99,100,84,61,47,32,95,80,100,95,99,70,100,93,99,80,86,48,68,32,93,82,21,0,64,41,93,87,63,98,83,43,98,77,82,84,67,98,87,100,61,90,43,89,100,82,88,69,93,77,97,74,40,15,5,100,99,87,96,60,97,74,73,17,100,88,65,36,95,93,55,94,80,98,91,35,100,100,97,68,91,98,98,86,75,71,83,43,91,100,7,41,97,98,75,76,90,98,99,63,93,30,51,18,34,5,99,98,81,46,33,67
blastoise,56,59,21,100,88,50,97,78,0,100,100,71,100,100,99,87,78,51,100,100,100,100,100,100,99,96,100,97,100,100,99,100,100,88,99,80,86,44,100,100,100,99,88,74,52,100,98,100,100,100,97,100,100,100,95,100,87,83,49,100,99,83,0,74,65,100,98,92,99,95,86,100,99,98,93,94,100,100,100,97,99,90,100,100,100,97,99,99,94,97,100,56,30,6,100,100,100,100,98,100,99,85,76,100,98,97,93,100,98,96,100,98,99,100,85,100,100,100,98,100,100,100,98,93,91,99,78,96,100,52,91,99,100,100,99,100,100,100,100,100,79,86,77,79,42,100,98,98,88,69,95
caterpie,0,0,0,0,0,0,0,0,0,0,100,0,90,100,0,9,1,0,26,1,22,1,17,1,13,3,0,0,13,0,0,15,1,0,9,0,2,0,3,0,11,0,0,0,0,10,1,16,6,21,1,12,0,9,0,2,0,0,0,4,0,0,0,5,0,1,1,0,24,3,1,12,0,0,0,0,2,0,4,0,0,0,0,14,3,0,0,1,0,0,0,0,0,0,0,30,3,0,0,0,0,3,0,14,0,8,0,2,0,0,0,0,61,10,0,3,0,0,0,1,0,12,2,2,0,0,0,0,100,0,0,96,1,0,0,0,7,0,0,0,0,0,0,0,0,0,2,3,0,0,22
metapod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,11,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butterfree,44,49,18,22,6,1,12,10,0,47,51,0,67,73,43,56,41,18,62,39,62,38,69,57,57,38,60,25,68,70,38,69,64,25,52,27,37,5,62,42,74,42,70,74,64,69,37,68,57,68,46,67,50,48,28,64,43,43,10,50,38,32,0,23,11,68,58,44,75,69,63,66,44,61,30,28,40,27,39,12,37,20,37,64,29,33,12,74,53,72,54,54,53,21,60,47,28,64,35,42,12,45,5,55,36,56,8,39,62,64,61,36,30,64,10,74,53,46,28,59,22,38,38,10,26,12,18,28,73,9,20,52,53,25,33,34,47,53,37,50,34,11,4,2,3,16,61,37,24,7,13
weedle,0,0,0,0,0,0,0,0,0,6,100,0,0,1,0,8,0,0,16,2,17,3,0,0,4,8,0,0,0,0,0,0,0,0,61,6,1,0,15,33,0,0,0,0,0,29,14,0,0,3,1,9,4,2,0,0,0,0,0,5,1,0,0,4,0,9,2,0,13,1,0,0,0,0,0,0,4,0,10,1,0,0,0,1,0,2,0,0,0,5,0,0,0,0,2,22,3,1,0,3,0,50,0,4,3,18,0,12,0,0,1,0,84,38,0,4,6,2,0,4,0,24,6,0,1,0,0,0,100,0,0,99,0,5,4,0,6,0,0,1,0,0,0,0,0,0,11,12,4,1,33
kakuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,10,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beedrill,84,71,19,41,22,5,39,15,1,100,100,22,100,100,0,82,66,30,97,90,90,51,97,88,100,100,74,31,93,77,35,99,93,26,86,39,70,34,89,81,79,51,100,100,98,91,77,98,72,91,70,98,84,97,63,82,50,48,20,96,81,15,60,90,39,92,65,44,97,95,96,96,85,25,10,4,89,56,95,47,89,31,66,75,50,89,51,87,60,85,24,4,0,0,55,97,88,61,31,93,45,98,60,80,59,99,22,76,58,32,35,5,100,98,24,100,100,82,53,96,90,92,57,88,84,40,27,57,100,18,46,96,88,78,96,61,93,59,14,60,22,2,17,8,12,20,95,85,48,65,61
pidgey,5,0,0,1,0,0,0,0,0,27,14,2,28,17,2,0,8,1,36,0,46,2,43,2,10,4,2,0,22,2,0,31,5,0,15,0,11,0,17,3,40,0,23,9,7,38,22,39,14,51,16,27,6,15,1,25,5,3,0,14,2,0,0,10,0,16,10,0,47,22,2,24,1,0,0,0,10,3,7,0,2,0,2,24,3,0,0,6,0,13,0,3,0,0,3,21,4,14,0,2,0,17,0,16,10,9,0,1,2,0,0,0,32,27,0,21,4,3,0,9,0,14,4,1,1,2,1,1,56,0,0,20,9,0,1,0,11,0,0,0,0,0,0,0,0,0,28,5,1,0,8
pidgeotto,19,9,1,6,2,0,0,0,0,43,29,3,54,27,3,10,0,1,57,20,70,15,40,25,39,7,23,0,48,23,1,46,28,0,31,3,33,3,32,12,54,5,44,32,18,52,46,46,41,56,34,52,20,36,6,42,14,18,1,39,14,3,0,28,3,33,19,4,54,54,25,46,6,3,0,0,36,14,26,0,3,0,27,48,11,7,0,26,0,37,3,11,2,0,9,45,12,34,6,19,4,46,2,29,10,19,0,13,15,7,1,0,41,33,0,43,29,32,9,38,5,30,19,12,4,4,4,12,49,0,0,35,35,4,6,7,30,1,0,3,0,0,0,0,0,5,49,27,6,0,3
pidgeot,47,33,8,37,20,2,24,4,0,66,44,18,69,55,25,32,16,0,72,42,68,57,63,48,60,39,60,33,54,57,38,69,53,33,55,30,51,17,59,36,77,45,64,69,48,65,55,59,51,83,65,68,60,61,42,71,54,49,17,73,52,28,35,44,27,56,54,36,71,60,46,57,34,30,18,4,46,48,49,26,40,11,45,62,47,44,18,48,25,61,49,23,9,1,41,65,39,56,39,52,30,65,34,58,33,58,33,42,40,23,33,12,58,58,16,65,53,55,48,63,34,50,50,53,43,37,27,46,70,10,13,55,54,35,34,35,56,32,6,42,6,6,2,3,7,38,71,42,32,10,23
rattata,19,12,1,17,0,0,1,0,0,74,100,1,80,100,3,18,2,0,0,19,82,28,79,33,63,56,18,1,53,18,1,51,23,0,50,8,61,6,59,30,81,12,26,20,13,40,16,78,32,43,6,62,26,62,10,47,3,24,2,36,12,0,0,41,13,22,6,4,65,36,26,82,9,0,0,0,47,22,61,3,10,0,33,41,11,23,4,51,6,22,0,0,0,0,5,78,36,25,1,36,7,37,1,38,4,13,1,31,12,4,2,0,99,29,1,38,27,32,16,39,4,47,25,18,23,14,2,6,100,0,4,76,47,13,10,16,38,2,0,0,0,0,0,0,0,1,64,53,15,1,24
raticate,38,33,8,63,22,3,20,3,0,99,100,12,97,100,10,50,25,0,81,0,99,81,97,77,95,99,58,23,93,78,39,93,84,10,86,38,61,23,89,88,99,56,70,67,37,89,59,100,87,84,36,93,82,95,63,82,22,59,11,94,64,15,0,54,27,70,34,17,99,81,60,99,60,3,0,0,89,60,99,27,74,21,84,95,66,82,36,89,40,93,20,0,0,0,74,99,84,61,29,83,45,76,14,83,51,27,37,82,53,34,13,0,98,93,20,91,88,88,56,84,43,95,69,65,62,40,12,47,100,7,39,95,90,62,63,78,96,32,1,13,0,1,7,4,5,62,92,82,34,23,63
spearow,36,31,3,13,0,0,0,0,0,78,100,7,79,100,10,22,0,0,18,1,0,34,66,22,26,8,7,2,53,18,0,65,39,0,48,7,46,1,60,21,58,18,63,51,28,73,52,83,61,68,35,57,20,49,6,60,17,28,0,34,10,6,0,45,16,51,36,16,76,66,39,61,8,0,0,0,41,11,52,0,1,0,36,38,10,11,4,41,12,16,1,23,8,4,4,59,31,22,5,11,7,64,10,38,28,19,6,26,11,6,0,0,95,63,1,38,31,34,12,33,1,43,42,16,6,7,5,3,100,0,2,82,34,17,6,23,47,0,0,0,0,0,0,0,0,2,56,42,13,1,19
fearow,74,64,30,56,21,1,24,4,0,99,100,33,95,100,49,47,25,0,72,19,66,0,98,81,67,63,57,30,93,74,41,95,82,29,90,28,67,13,90,68,91,61,91,77,68,87,86,95,93,98,77,94,72,88,54,82,68,56,16,94,65,40,41,62,30,79,72,59,97,89,79,96,49,9,0,0,88,53,94,16,24,1,78,93,46,50,23,77,36,65,13,50,47,8,48,94,78,62,34,67,28,90,33,81,53,65,51,79,44,34,10,1,98,96,13,82,78,68,57,81,46,90,74,70,34,57,32,43,100,14,22,93,79,48,34,62,77,28,1,23,3,3,16,6,1,51,81,82,37,16,56
ekans,21,12,1,7,1,1,1,1,0,83,100,1,100,100,3,11,2,0,20,3,34,1,0,31,66,77,15,2,70,25,0,72,43,0,68,8,30,3,65,66,66,18,71,48,27,73,37,78,25,26,5,58,16,47,10,30,4,16,4,48,17,2,0,23,8,51,18,19,80,51,34,67,28,1,0,0,47,18,65,7,21,2,25,47,17,39,3,51,19,70,5,0,0,0,18,70,23,41,14,33,11,83,3,34,7,29,2,41,14,3,3,0,94,80,3,53,64,22,9,40,12,56,35,24,25,8,3,6,100,1,3,79,37,13,25,15,38,15,1,7,1,0,0,0,0,12,59,41,9,1,33
arbok,59,53,9,54,22,1,31,13,0,99,100,9,100,100,12,50,29,0,67,22,78,19,69,0,97,94,67,17,95,88,29,96,91,14,95,49,73,20,99,92,94,51,93,87,64,96,79,94,62,58,19,95,68,91,37,71,25,61,10,83,61,25,0,43,20,84,64,48,99,87,86,95,47,5,1,1,88,61,96,38,49,15,72,98,47,76,53,82,51,93,58,1,0,0,78,96,71,68,42,84,43,90,29,72,25,90,36,84,50,39,22,3,100,100,17,97,95,87,64,87,74,87,65,50,66,34,20,52,100,6,31,88,87,69,86,70,85,70,5,49,15,2,8,3,3,61,91,82,56,19,46
pikachu,8,6,0,19,9,1,24,4,1,87,100,8,96,100,0,63,25,2,37,5,74,33,34,3,0,87,27,2,82,60,0,82,59,1,81,16,35,2,70,55,89,58,25,18,10,48,12,81,48,27,4,74,32,84,42,51,8,40,2,73,50,21,10,35,9,58,27,8,71,48,22,87,41,7,0,0,54,31,89,50,43,18,53,87,35,56,23,79,20,97,52,25,7,5,17,72,39,77,50,25,4,56,0,26,2,12,5,50,44,33,1,0,94,78,1,93,87,70,35,87,52,64,52,6,14,11,11,11,100,28,16,90,49,43,8,8,51,69,30,66,39,11,0,6,2,55,50,45,30,2,23
