Name,Type,Category,Effect,Power,Acc,PP,TM,Prob.(%),Gen
Absorb,Grass,Special,User recovers half the HP inflicted on opponent.,20,100,25,,-,1
Acid,Poison,Special,May lower opponent's Special Defense.,40,100,30,,10,1
Acid Armor,Poison,Status,Sharply raises user's Defense.,-,-,20,,-,1
Agility,Psychic,Status,Sharply raises user's Speed.,-,-,30,,-,1
Amnesia,Psychic,Status,Sharply raises user's Special Defense.,-,-,20,,-,1
Aurora Beam,Ice,Special,May lower opponent's Attack.,65,100,20,,10,1
Barrage,Normal,Physical,Hits 2-5 times in one turn.,15,85,20,,-,1
Barrier,Psychic,Status,Sharply raises user's Defense.,-,-,20,,-,1
Bide,Normal,Physical,User takes damage for two turns then strikes back double.,-,-,10,,-,1
Bind,Normal,Physical,"Traps opponent, damaging them for 4-5 turns.",15,85,20,,-,1
Bite,Dark,Physical,May cause flinching.,60,100,25,,30,1
Blizzard,Ice,Special,May freeze opponent.,110,70,5,TM14,10,1
Body Slam,Normal,Physical,May paralyze opponent.,85,100,15,,30,1
Bone Club,Ground,Physical,May cause flinching.,65,85,20,,10,1
Bonemerang,Ground,Physical,Hits twice in one turn.,50,90,10,,-,1
Bubble,Water,Special,May lower opponent's Speed.,40,100,30,,10,1
Bubble Beam,Water,Special,May lower opponent's Speed.,65,100,20,,10,1
Clamp,Water,Physical,"Traps opponent, damaging them for 4-5 turns.",35,85,10,,-,1
Comet Punch,Normal,Physical,Hits 2-5 times in one turn.,18,85,15,,-,1
Confuse Ray,Ghost,Status,Confuses opponent.,-,100,10,,-,1
Confusion,Psychic,Special,May confuse opponent.,50,100,25,,10,1
Constrict,Normal,Physical,May lower opponent's Speed by one stage.,10,100,35,,10,1
Conversion,Normal,Status,Changes user's type to that of its first move.,-,-,30,,-,1
Counter,Fighting,Physical,"When hit by a Physical Attack, user strikes back with 2x power.",-,100,20,,-,1
Crabhammer,Water,Physical,High critical hit ratio.,100,90,10,,-,1
Cut,Normal,Physical,,50,95,30,,-,1
Defense Curl,Normal,Status,Raises user's Defense.,-,-,40,,-,1
Dig,Ground,Physical,"Digs underground on first turn, attacks on second. Can also escape from caves.",80,100,10,,-,1
Disable,Normal,Status,Opponent can't use its last attack for a few turns.,-,100,20,,-,1
Dizzy Punch,Normal,Physical,May confuse opponent.,70,100,10,,20,1
Double Kick,Fighting,Physical,Hits twice in one turn.,30,100,30,,-,1
Double Slap,Normal,Physical,Hits 2-5 times in one turn.,15,85,10,,-,1
Double Team,Normal,Status,Raises user's Evasiveness.,-,-,15,TM32,-,1
Double-Edge,Normal,Physical,User receives recoil damage.,120,100,15,,-,1
Dragon Rage,Dragon,Special,Always inflicts 40 HP.,-,100,10,,-,1
Dream Eater,Psychic,Special,User recovers half the HP inflicted on a sleeping opponent.,100,100,15,TM85,-,1
Drill Peck,Flying,Physical,,80,100,20,,-,1
Earthquake,Ground,Physical,Power is doubled if opponent is underground from using Dig.,100,100,10,TM26,-,1
Egg Bomb,Normal,Physical,,100,75,10,,-,1
Ember,Fire,Special,May burn opponent.,40,100,25,,10,1
Explosion,Normal,Physical,User faints.,250,100,5,TM64,-,1
Fire Blast,Fire,Special,May burn opponent.,110,85,5,TM38,10,1
Fire Punch,Fire,Physical,May burn opponent.,75,100,15,,10,1
Fire Spin,Fire,Special,"Traps opponent, damaging them for 4-5 turns.",35,85,15,,-,1
Fissure,Ground,Physical,"One-Hit-KO, if it hits.",-,-,5,,-,1
Flamethrower,Fire,Special,May burn opponent.,90,100,15,TM35,10,1
Flash,Normal,Status,Lowers opponent's Accuracy.,-,100,20,,-,1
Fly,Flying,Physical,"Flies up on first turn, attacks on second turn.",90,95,15,TM76,-,1
Focus Energy,Normal,Status,Increases critical hit ratio.,-,-,30,,-,1
Fury Attack,Normal,Physical,Hits 2-5 times in one turn.,15,85,20,,-,1
Fury Swipes,Normal,Physical,Hits 2-5 times in one turn.,18,80,15,,-,1
Glare,Normal,Status,Paralyzes opponent.,-,100,30,,-,1
Growl,Normal,Status,Lowers opponent's Attack.,-,100,40,,-,1
Growth,Normal,Status,Raises user's Attack and Special Attack.,-,-,40,,-,1
Guillotine,Normal,Physical,"One-Hit-KO, if it hits.",-,-,5,,-,1
Gust,Flying,Special,Hits Pokémon using Fly/Bounce with double power.,40,100,35,,-,1
Harden,Normal,Status,Raises user's Defense.,-,-,30,,-,1
Haze,Ice,Status,Resets all stat changes.,-,-,30,,-,1
Headbutt,Normal,Physical,May cause flinching.,70,100,15,,30,1
High Jump Kick,Fighting,Physical,"If it misses, the user loses half their HP.",130,90,10,,-,1
Horn Attack,Normal,Physical,,65,100,25,,-,1
Horn Drill,Normal,Physical,"One-Hit-KO, if it hits.",-,-,5,,-,1
Hydro Pump,Water,Special,,110,80,5,,-,1
Hyper Beam,Normal,Special,User must recharge next turn.,150,90,5,TM15,-,1
Hyper Fang,Normal,Physical,May cause flinching.,80,90,15,,10,1
Hypnosis,Psychic,Status,Puts opponent to sleep.,-,60,20,,-,1
Ice Beam,Ice,Special,May freeze opponent.,90,100,10,TM13,10,1
Ice Punch,Ice,Physical,May freeze opponent.,75,100,15,,10,1
Jump Kick,Fighting,Physical,"If it misses, the user loses half their HP.",100,95,10,,-,1
Karate Chop,Fighting,Physical,High critical hit ratio.,50,100,25,,-,1
Kinesis,Psychic,Status,Lowers opponent's Accuracy.,-,80,15,,-,1
Leech Life,Bug,Physical,User recovers half the HP inflicted on opponent.,80,100,10,TM28,-,1
Leech Seed,Grass,Status,Drains HP from opponent each turn.,-,90,10,,-,1
Leer,Normal,Status,Lowers opponent's Defense.,-,100,30,,-,1
Lick,Ghost,Physical,May paralyze opponent.,30,100,30,,30,1
Light Screen,Psychic,Status,Halves damage from Special attacks for 5 turns.,-,-,30,TM16,-,1
Lovely Kiss,Normal,Status,Puts opponent to sleep.,-,75,10,,-,1
Low Kick,Fighting,Physical,"The heavier the opponent, the stronger the attack.",-,100,20,,-,1
Meditate,Psychic,Status,Raises user's Attack.,-,-,40,,-,1
Mega Drain,Grass,Special,User recovers half the HP inflicted on opponent.,40,100,15,,-,1
Mega Kick,Normal,Physical,,120,75,5,,-,1
Mega Punch,Normal,Physical,,80,85,20,,-,1
Metronome,Normal,Status,User performs almost any move in the game at random.,-,-,10,,-,1
Mimic,Normal,Status,Copies the opponent's last move.,-,-,10,,-,1
Minimize,Normal,Status,Sharply raises user's Evasiveness.,-,-,10,,-,1
Mirror Move,Flying,Status,User performs the opponent's last move.,-,-,20,,-,1
Mist,Ice,Status,User's stats cannot be changed for a period of time.,-,-,30,,-,1
Night Shade,Ghost,Special,Inflicts damage equal to user's level.,-,100,15,,-,1
Pay Day,Normal,Physical,A small amount of money is gained after the battle resolves.,40,100,20,,-,1
Peck,Flying,Physical,,35,100,35,,-,1
Petal Dance,Grass,Special,User attacks for 2-3 turns but then becomes confused.,120,100,10,,-,1
Pin Missile,Bug,Physical,Hits 2-5 times in one turn.,25,95,20,,-,1
Poison Gas,Poison,Status,Poisons opponent.,-,90,40,,-,1
Poison Powder,Poison,Status,Poisons opponent.,-,75,35,,-,1
Poison Sting,Poison,Physical,May poison the opponent.,15,100,35,,30,1
Pound,Normal,Physical,,40,100,35,,-,1
Psybeam,Psychic,Special,May confuse opponent.,65,100,20,,10,1
Psychic,Psychic,Status,May lower opponent's Special Defense.,90,100,10,TM29,10,1
Psywave,Psychic,Special,Inflicts damage 50-150% of user's level.,-,80,15,,-,1
Quick Attack,Normal,Physical,User attacks first.,40,100,30,,-,1
Rage,Normal,Physical,Raises user's Attack when hit.,20,100,20,,-,1
Razor Leaf,Grass,Physical,High critical hit ratio.,55,95,25,,-,1
